model,score,data_name,num_train,random_state,task
carte-gnn,0.5449178944813313,wine_dot_com_prices,128,2,regression
carte-gnn,0.6041288887084204,wine_dot_com_prices,128,4,regression
carte-gnn,0.5125417055903007,wine_dot_com_prices,128,3,regression
carte-gnn,0.5209844307482381,wine_dot_com_prices,128,8,regression
carte-gnn,0.5712917049062918,wine_dot_com_prices,128,7,regression
carte-gnn,0.5756735196682328,wine_dot_com_prices,128,9,regression
carte-gnn,0.5744338603778963,wine_dot_com_prices,128,5,regression
carte-gnn,0.5720043312881344,wine_dot_com_prices,128,6,regression
carte-gnn,0.5614657648760579,wine_dot_com_prices,128,10,regression
carte-gnn,0.6411227765289664,wine_dot_com_prices,256,1,regression
carte-gnn,0.6384588648038779,wine_dot_com_prices,256,2,regression
carte-gnn,0.6211849244129244,wine_dot_com_prices,256,9,regression
carte-gnn,0.6230991064980349,wine_dot_com_prices,256,6,regression
carte-gnn,0.661680074502577,wine_dot_com_prices,256,4,regression
carte-gnn,0.6272666769814226,wine_dot_com_prices,256,8,regression
carte-gnn,0.6283624042844047,wine_dot_com_prices,256,3,regression
carte-gnn,0.6592449986379934,wine_dot_com_prices,256,5,regression
carte-gnn,0.655414877202056,wine_dot_com_prices,256,7,regression
carte-gnn,0.6261247671345116,wine_dot_com_prices,256,10,regression
carte-gnn,0.6847339421651806,wine_dot_com_prices,512,1,regression
carte-gnn,0.683980439182249,wine_dot_com_prices,512,5,regression
carte-gnn,0.7106468962641983,wine_dot_com_prices,512,3,regression
carte-gnn,0.6773886021826226,wine_dot_com_prices,512,2,regression
carte-gnn,0.6694186146471994,wine_dot_com_prices,512,4,regression
carte-gnn,0.6832635615752234,wine_dot_com_prices,512,7,regression
carte-gnn,0.6849139563389972,wine_dot_com_prices,512,8,regression
carte-gnn,0.696371567583588,wine_dot_com_prices,512,9,regression
carte-gnn,0.6639990418303824,wine_dot_com_prices,512,6,regression
carte-gnn,0.6618943320549839,wine_dot_com_prices,512,10,regression
carte-gnn,0.7363811717491653,wine_dot_com_prices,1024,1,regression
carte-gnn,0.7294747865795812,wine_dot_com_prices,1024,10,regression
carte-gnn,0.7358566073669723,wine_dot_com_prices,1024,5,regression
carte-gnn,0.7238324014574542,wine_dot_com_prices,1024,6,regression
carte-gnn,0.7442888677407663,wine_dot_com_prices,1024,9,regression
carte-gnn,0.7368342445881952,wine_dot_com_prices,1024,4,regression
carte-gnn,0.7330238412492384,wine_dot_com_prices,1024,7,regression
carte-gnn,0.7391385672755071,wine_dot_com_prices,1024,2,regression
carte-gnn,0.7435571111081758,wine_dot_com_prices,1024,8,regression
carte-gnn,0.7301306655067373,wine_dot_com_prices,1024,3,regression
carte-gnn,0.7678897621903509,wine_dot_com_prices,2048,1,regression
carte-gnn,0.7660647224879441,wine_dot_com_prices,2048,5,regression
carte-gnn,0.7731903096346631,wine_dot_com_prices,2048,4,regression
carte-gnn,0.7812270326334917,wine_dot_com_prices,2048,2,regression
carte-gnn,0.7728620976477937,wine_dot_com_prices,2048,7,regression
carte-gnn,0.7713089931153599,wine_dot_com_prices,2048,6,regression
carte-gnn,0.7662010614889379,wine_dot_com_prices,2048,8,regression
carte-gnn,0.7759710241147395,wine_dot_com_prices,2048,3,regression
carte-gnn,0.7597578521627686,wine_dot_com_prices,2048,10,regression
carte-gnn,0.7801354986361199,wine_dot_com_prices,2048,9,regression
carte-gnn,0.530074155202328,wine_vivino_price,32,10,regression
carte-gnn,0.5381316599490782,wine_vivino_price,32,1,regression
carte-gnn,0.3133292618945773,wine_vivino_price,32,7,regression
carte-gnn,0.4081994950688183,wine_vivino_price,32,5,regression
carte-gnn,0.5938157623165354,wine_vivino_price,32,6,regression
carte-gnn,0.6163806514726234,wine_vivino_price,32,8,regression
carte-gnn,0.4615886566950991,wine_vivino_price,32,4,regression
carte-gnn,0.600628521936704,wine_vivino_price,32,9,regression
carte-gnn,0.590585011717388,wine_vivino_price,32,2,regression
carte-gnn,0.4975613941729592,wine_vivino_price,32,3,regression
carte-gnn,0.6112684058793136,wine_vivino_price,64,1,regression
carte-gnn,0.6455810661499578,wine_vivino_price,64,2,regression
carte-gnn,0.6120333435956498,wine_vivino_price,64,9,regression
carte-gnn,0.6261622742178138,wine_vivino_price,64,8,regression
carte-gnn,0.6369102037357093,wine_vivino_price,64,4,regression
carte-gnn,0.532378921723184,wine_vivino_price,64,7,regression
carte-gnn,0.5855557889509976,wine_vivino_price,64,10,regression
carte-gnn,0.6465248762121665,wine_vivino_price,64,3,regression
carte-gnn,0.6372327468141912,wine_vivino_price,64,5,regression
carte-gnn,0.6067102582066389,wine_vivino_price,64,6,regression
carte-gnn,0.6696339784969341,wine_vivino_price,128,1,regression
carte-gnn,0.6815098586377966,wine_vivino_price,128,3,regression
carte-gnn,0.6976097985638094,wine_vivino_price,128,2,regression
carte-gnn,0.6563463550439972,wine_vivino_price,128,4,regression
carte-gnn,0.6807166653879932,wine_vivino_price,128,6,regression
carte-gnn,0.6649539619862421,wine_vivino_price,128,7,regression
carte-gnn,0.6411507877458311,wine_vivino_price,128,5,regression
carte-gnn,0.6864329782619187,wine_vivino_price,128,8,regression
carte-gnn,0.6693045483440905,wine_vivino_price,128,9,regression
carte-gnn,0.6946192849489912,wine_vivino_price,128,10,regression
carte-gnn,0.6911797564882965,wine_vivino_price,256,4,regression
carte-gnn,0.7121896843061772,wine_vivino_price,256,2,regression
carte-gnn,0.672662178325478,wine_vivino_price,256,5,regression
carte-gnn,0.7243319187505715,wine_vivino_price,256,1,regression
carte-gnn,0.7277160608372701,wine_vivino_price,256,3,regression
carte-gnn,0.7039195382782985,wine_vivino_price,256,8,regression
carte-gnn,0.7121328952955481,wine_vivino_price,256,7,regression
carte-gnn,0.7017659663741496,wine_vivino_price,256,6,regression
carte-gnn,0.7126945356198854,wine_vivino_price,256,10,regression
carte-gnn,0.7477078523456073,wine_vivino_price,512,1,regression
carte-gnn,0.6769982015542702,wine_vivino_price,256,9,regression
carte-gnn,0.731022359663445,wine_vivino_price,512,2,regression
carte-gnn,0.7550093315713802,wine_vivino_price,512,3,regression
carte-gnn,0.7236497175712546,wine_vivino_price,512,4,regression
carte-gnn,0.7359485369107128,wine_vivino_price,512,5,regression
carte-gnn,0.7483467491350779,wine_vivino_price,512,7,regression
carte-gnn,0.7319439695204568,wine_vivino_price,512,10,regression
carte-gnn,0.7252935489625056,wine_vivino_price,512,8,regression
carte-gnn,0.7375650797948643,wine_vivino_price,512,6,regression
carte-gnn,0.708356496568388,wine_vivino_price,512,9,regression
carte-gnn,0.748203157313263,wine_vivino_price,1024,2,regression
carte-gnn,0.7798168293590988,wine_vivino_price,1024,3,regression
carte-gnn,0.7724772387404739,wine_vivino_price,1024,1,regression
carte-gnn,0.7699789668822825,wine_vivino_price,1024,7,regression
carte-gnn,0.7620193919209474,wine_vivino_price,1024,5,regression
carte-gnn,0.7594830314776734,wine_vivino_price,1024,8,regression
carte-gnn,0.7554694679105062,wine_vivino_price,1024,4,regression
carte-gnn,0.7632956353848084,wine_vivino_price,1024,9,regression
carte-gnn,0.7650067100793863,wine_vivino_price,1024,6,regression
carte-gnn,0.7747533217236429,wine_vivino_price,1024,10,regression
carte-gnn,0.7971619052696514,wine_vivino_price,2048,1,regression
carte-gnn,0.7932251219184008,wine_vivino_price,2048,2,regression
carte-gnn,0.795908057878888,wine_vivino_price,2048,4,regression
carte-gnn,0.7927932715703029,wine_vivino_price,2048,8,regression
carte-gnn,0.7989680672643038,wine_vivino_price,2048,3,regression
carte-gnn,0.7904152969666511,wine_vivino_price,2048,5,regression
carte-gnn,0.7996383437790616,wine_vivino_price,2048,6,regression
carte-gnn,0.7975017535588448,wine_vivino_price,2048,9,regression
carte-gnn,0.7863581550059839,wine_vivino_price,2048,7,regression
carte-gnn,0.7932962604041922,wine_vivino_price,2048,10,regression
