model,best_param,data_name,num_train,random_state,task
carte-gnn,{'learning_rate': 0.001},wine_vivino_price,32,6,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,64,7,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,32,4,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,64,2,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,64,5,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,32,3,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,64,6,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,128,7,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,128,2,regression
carte-gnn,{'learning_rate': 0.00075},wine_vivino_price,64,4,regression
carte-gnn,{'learning_rate': 0.001},wine_vivino_price,128,5,regression
carte-gnn,{'learning_rate': 0.00075},wine_vivino_price,128,6,regression
carte-gnn,{'learning_rate': 0.00075},wine_vivino_price,64,3,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,256,7,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,128,4,regression
carte-gnn,{'learning_rate': 0.0025},wine_vivino_price,256,2,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,128,3,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,256,5,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,256,6,regression
carte-gnn,{'learning_rate': 0.00075},wine_vivino_price,512,7,regression
carte-gnn,{'learning_rate': 0.0025},wine_vivino_price,512,2,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,256,4,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,256,3,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,512,6,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,512,5,regression
carte-gnn,{'learning_rate': 0.0001},wine_vivino_price,1024,2,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,1024,7,regression
carte-gnn,{'learning_rate': 0.00075},wine_vivino_price,512,4,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,512,3,regression
carte-gnn,{'learning_rate': 0.001},wine_vivino_price,1024,5,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,1024,6,regression
carte-gnn,{'learning_rate': 0.0001},wine_vivino_price,1024,4,regression
carte-gnn,{'learning_rate': 0.0025},wine_vivino_price,1024,3,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,512,8,regression
carte-gnn,{'learning_rate': 0.0001},wine_vivino_price,512,9,regression
carte-gnn,{'learning_rate': 0.0025},wine_vivino_price,512,10,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,1024,8,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,1024,10,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,1024,9,regression
carte-gnn,{'learning_rate': 0.0005},wine_vivino_price,2048,8,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,2048,2,regression
carte-gnn,{'learning_rate': 0.001},wine_vivino_price,2048,1,regression
carte-gnn,{'learning_rate': 0.0001},wine_vivino_price,2048,7,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,2048,9,regression
carte-gnn,{'learning_rate': 0.00025},wine_vivino_price,2048,10,regression
