iter	Logloss
0	0.690004095
1	0.6874327307
2	0.6835270682
3	0.6799822689
4	0.6767979179
5	0.673718842
6	0.6697356864
7	0.66647389
8	0.6635487644
9	0.6608636962
10	0.6583783539
11	0.6548902759
12	0.6517569315
13	0.6493954123
14	0.6460149994
15	0.6432503481
16	0.640334624
17	0.6376670902
18	0.6352129868
19	0.6331118788
20	0.6303387541
21	0.6272015704
22	0.624569633
23	0.6226626742
24	0.6198524031
25	0.6178382075
26	0.6158355203
27	0.6137874071
28	0.6116941447
29	0.609289022
30	0.6065873624
31	0.6046944214
32	0.6025410091
33	0.5999406732
34	0.5985420944
35	0.5968443645
36	0.5951292272
37	0.5930023138
38	0.5911912544
39	0.58906843
40	0.5867469917
41	0.5846315826
42	0.582676723
43	0.5808064506
44	0.5784749338
45	0.5761954261
46	0.574665581
47	0.5730307572
48	0.5715070414
49	0.5691324806
50	0.5674786271
51	0.5661273474
52	0.5647499406
53	0.5637212009
54	0.5621160693
55	0.560428804
56	0.5587774927
57	0.5564264372
58	0.555124523
59	0.5532037933
60	0.5517593812
61	0.5504254326
62	0.548983677
63	0.5474842182
64	0.5452191154
65	0.5447337532
66	0.543446047
67	0.5423327561
68	0.5413102206
69	0.5405563572
70	0.5392695713
71	0.5375697117
72	0.5361317535
73	0.5348432589
74	0.533168659
75	0.5320512541
76	0.5310083938
77	0.5299800438
78	0.5290793375
79	0.5280267386
80	0.5268504072
81	0.5256153902
82	0.5241442273
83	0.5230094883
84	0.5220538711
85	0.5206882368
86	0.5194225493
87	0.5182649978
88	0.5168011477
89	0.5156874575
90	0.5146532507
91	0.5139395595
92	0.5129616021
93	0.5121871934
94	0.5107828814
95	0.5100469943
96	0.5089082114
97	0.5073623348
98	0.5064457811
99	0.5057058459
100	0.5048824459
101	0.5035753384
102	0.5023817787
103	0.5016374832
104	0.5004764493
105	0.4988458693
106	0.4978424695
107	0.4966535009
108	0.4958389901
109	0.4947352238
110	0.4936705213
111	0.4928411513
112	0.4916886781
113	0.4903809751
114	0.4891295824
115	0.4883960515
116	0.4874484981
117	0.4863848746
118	0.4852568882
119	0.4845381498
120	0.4834880118
121	0.4829601345
122	0.482367482
123	0.4813746164
124	0.4807740763
125	0.4799504587
126	0.479217767
127	0.4782224568
128	0.4773006741
129	0.4767325038
130	0.4760460889
131	0.4751678358
132	0.4738579489
133	0.4730880993
134	0.4722162274
135	0.4713469211
136	0.470579624
137	0.4696396247
138	0.4688227996
139	0.4677298224
140	0.4669745485
141	0.466208012
142	0.4653895785
143	0.4644484309
144	0.4637496993
145	0.4629231398
146	0.4623107479
147	0.4617781582
148	0.4611915712
149	0.4607511269
150	0.4599277468
151	0.4593108512
152	0.4584988058
153	0.4577766572
154	0.4568334371
155	0.4562957921
156	0.4554361774
157	0.4546552866
158	0.4543502775
159	0.4536807091
160	0.4532592482
161	0.452773528
162	0.4521861205
163	0.4514479939
164	0.4507104331
165	0.4498825244
166	0.4493573931
167	0.4486098747
168	0.4478506443
169	0.4471770092
170	0.4462942418
171	0.4457044152
172	0.4446495307
173	0.44370669
174	0.4431074308
175	0.442499328
176	0.4418463552
177	0.4411960556
178	0.4408154157
179	0.4400275507
180	0.4391491336
181	0.4384099928
182	0.4375220995
183	0.437076488
184	0.4366991206
185	0.436191072
186	0.4352987076
187	0.4346587436
188	0.4343377986
189	0.4337645282
190	0.4331073334
191	0.432383841
192	0.4317743999
193	0.431283048
194	0.4307054739
195	0.4300338819
196	0.4293332617
197	0.4286711201
198	0.4280595846
199	0.427456406
200	0.4269921752
201	0.4264793615
202	0.4263692098
203	0.4258450774
204	0.4253540974
205	0.4246928665
206	0.4242739082
207	0.4238173804
208	0.4233296737
209	0.4229736995
210	0.4225177418
211	0.4221095286
212	0.4215712905
213	0.4210367429
214	0.4203595497
215	0.4200066206
216	0.4196361722
217	0.4188993833
218	0.4181561195
219	0.4175518087
220	0.4169968197
221	0.4166756473
222	0.4162493416
223	0.4155004959
224	0.4150278748
225	0.4145072716
226	0.414107222
227	0.4136318438
228	0.4130313595
229	0.4125121037
230	0.411736264
231	0.4109118574
232	0.410540598
233	0.4099970289
234	0.4095039354
235	0.4092766799
236	0.4087506091
237	0.4083782511
238	0.4080874044
239	0.40757572
240	0.4071440373
241	0.4066983845
242	0.4061434126
243	0.4053874082
244	0.404857526
245	0.4043271644
246	0.4038462456
247	0.4034135078
248	0.4029787918
249	0.4024724562
250	0.4020946078
251	0.4016965807
252	0.401354705
253	0.4008344777
254	0.4001149714
255	0.399324399
256	0.3988610801
257	0.3979917302
258	0.3975189488
259	0.3970799943
260	0.3967223114
261	0.3963245771
262	0.3958720828
263	0.3955229954
264	0.3950865046
265	0.3944282422
266	0.3940487983
267	0.3935321719
268	0.3931131326
269	0.3926996932
270	0.3922104491
271	0.3918575389
272	0.3911856971
273	0.3906193748
274	0.3902413651
275	0.3898404024
276	0.3894224269
277	0.3890846559
278	0.3885939195
279	0.3883279864
280	0.3877840121
281	0.3871156121
282	0.3866693168
283	0.3860677816
284	0.3857072251
285	0.3853360817
286	0.3845636016
287	0.3842121876
288	0.3837636164
289	0.383308375
290	0.3828854316
291	0.3822084496
292	0.3820879733
293	0.3816042944
294	0.3812405156
295	0.3808428532
296	0.3804190282
297	0.3800921466
298	0.3794034855
299	0.3790281604
300	0.3787105063
301	0.3783240661
302	0.3777919582
303	0.377457389
304	0.3770808875
305	0.376691773
306	0.3760951897
307	0.3757264391
308	0.3752573392
309	0.3748914862
310	0.374493669
311	0.3739752161
312	0.3736370623
313	0.3730024875
314	0.3726546001
315	0.3723081092
316	0.37194212
317	0.3715853527
318	0.3711870678
319	0.3709270197
320	0.3705339379
321	0.370215867
322	0.3699592511
323	0.3695492379
324	0.3690177355
325	0.3685802845
326	0.3680166515
327	0.3677446251
328	0.3673644238
329	0.3670083471
330	0.366595114
331	0.3663424547
332	0.3658014341
333	0.3654430516
334	0.3649648227
335	0.3643649371
336	0.3639704943
337	0.3636237224
338	0.3631832189
339	0.3626767905
340	0.3623190279
341	0.3618658915
342	0.3615177096
343	0.3610502035
344	0.3605073641
345	0.3601062825
346	0.3598512752
347	0.3595481319
348	0.3592424843
349	0.3587964995
350	0.3584148809
351	0.3581362142
352	0.3575435002
353	0.3570984798
354	0.3567396556
355	0.3563575781
356	0.3561251601
357	0.3557391714
358	0.3554073698
359	0.3549080128
360	0.3543885474
361	0.3540223869
362	0.3534867391
363	0.3530155287
364	0.3525641347
365	0.3522184845
366	0.3518667801
367	0.3516355663
368	0.3512343295
369	0.350899103
370	0.3505108808
371	0.3502232624
372	0.3499224136
373	0.3494270221
374	0.3490609935
375	0.3487570467
376	0.3484338332
377	0.3479470391
378	0.3476281943
379	0.3472361993
380	0.3469567507
381	0.3464384053
382	0.3458368151
383	0.3455030492
384	0.3452140806
385	0.3448542309
386	0.3445389206
387	0.3442766238
388	0.3439421939
389	0.3436183035
390	0.3430399936
391	0.3426472976
392	0.3421734689
393	0.3417668338
394	0.3413529385
395	0.3411285009
396	0.3408093377
397	0.3404035063
398	0.3400603547
399	0.3393929351
400	0.3391069423
401	0.3387843959
402	0.3382954798
403	0.3380479753
404	0.3377536815
405	0.3373873547
406	0.3369614724
407	0.3367465169
408	0.3363385341
409	0.3360368113
410	0.3354528037
411	0.3350696358
412	0.3347803973
413	0.3344598113
414	0.3341731517
415	0.3336001708
416	0.3333552006
417	0.3329424923
418	0.3324572446
419	0.3322134356
420	0.3321095889
421	0.3318387177
422	0.3315456574
423	0.3311884166
424	0.3309982943
425	0.3308150545
426	0.3305451385
427	0.3300728526
428	0.3296510042
429	0.3293255077
430	0.3291544892
431	0.3289645068
432	0.3287402825
433	0.328427339
434	0.3281208337
435	0.3277426924
436	0.3274475552
437	0.3271065904
438	0.3266548951
439	0.3263237857
440	0.326085152
441	0.3257522636
442	0.3254906134
443	0.3252179837
444	0.3249375293
445	0.3245403411
446	0.3243015028
447	0.323963043
448	0.3236085793
449	0.32326904
450	0.3229971668
451	0.3225393188
452	0.3223044203
453	0.3220297436
454	0.3217572869
455	0.3215350271
456	0.321373354
457	0.3208530101
458	0.3206824557
459	0.3201996551
460	0.3198029801
461	0.3193907253
462	0.3190796549
463	0.3186966187
464	0.3184536494
465	0.3180423469
466	0.317743213
467	0.3174263649
468	0.3170509382
469	0.3166837612
470	0.3162422825
471	0.315960091
472	0.3157318493
473	0.3155120495
474	0.3152527897
475	0.3150184742
476	0.3146826229
477	0.3144038464
478	0.3140985155
479	0.3138992753
480	0.3135291689
481	0.3133228707
482	0.3129543848
483	0.3126271626
484	0.312448525
485	0.3120685235
486	0.3115993506
487	0.3114070034
488	0.3111597351
489	0.3108196704
490	0.310430634
491	0.3102048091
492	0.3100574874
493	0.3097717253
494	0.3095458769
495	0.309300961
496	0.3090069071
497	0.3088491666
498	0.3082796723
499	0.3079285999
500	0.307724195
501	0.3074230482
502	0.307172202
503	0.3068399757
504	0.3065288841
505	0.3063621894
506	0.3059230071
507	0.3056149702
508	0.3053115234
509	0.3050007145
510	0.304883772
511	0.3047331806
512	0.3044606448
513	0.3040349967
514	0.3036836331
515	0.3033828816
516	0.3030253206
517	0.3028053486
518	0.3024173182
519	0.3020889665
520	0.301858503
521	0.3016598251
522	0.3013163223
523	0.3010544458
524	0.3007406351
525	0.3005751863
526	0.3002260454
527	0.299882265
528	0.2996419224
529	0.2992487505
530	0.298900653
531	0.2984638681
532	0.2981811279
533	0.2979410704
534	0.2975402158
535	0.2972554918
536	0.2969203924
537	0.2966688039
538	0.2963864183
539	0.2961255828
540	0.2957713884
541	0.2955682271
542	0.2951693062
543	0.2948976118
544	0.2946394007
545	0.294344977
546	0.2941366532
547	0.2937923766
548	0.2933889842
549	0.293008459
550	0.2927241112
551	0.292430165
552	0.2920217045
553	0.2918120063
554	0.2916117621
555	0.2913949194
556	0.2911954116
557	0.2910447759
558	0.2908510774
559	0.2905415346
560	0.2902682967
561	0.2898730883
562	0.2897068777
563	0.289392167
564	0.2889890927
565	0.2886830539
566	0.2884236134
567	0.2881419135
568	0.2879334841
569	0.2876021436
570	0.2873097038
571	0.2870430154
572	0.2868631475
573	0.2867938256
574	0.2865961309
575	0.2863745583
576	0.2861554425
577	0.2859950642
578	0.2856769398
